Name	Level	School	Ritual	Casting Time	Range	Verbal	Somatic	Material	Materials	Concentration	Duration	Classes	Description
"Conjure Fey"	"6"	"conjuration"	"False"	"1 minute"	"90 feet"	"True"	"True"	"False"	""	"True"	"Up to 1 hour"	"Druid, Warlock"	"You summon a fey creature of Challenge Rating 6 or lower, or a Fey Spirit that takes the form of a beast of Challenge Rating 6 or lower. It appears in an unoccupied space that you can see within range. The fey creature disappears when it drops to 0 Hit Points or when the spell ends.\n\nThe fey creature is friendly to you and your companions for the Duration. Roll Initiative for the creature, which has its own turns. It obeys any verbal commands that you issue to it (no action required by you), as long as they don't violate its Alignment. If you don't issue any commands to the fey creature, it defends itself from Hostile creatures but otherwise takes no Actions.\n\nIf your Concentration is broken, the fey creature doesn't disappear. Instead, you lose control of the fey creature, it becomes Hostile toward you and your companions, and it might Attack. An uncontrolled fey creature can't be dismissed by you, and it disappears 1 hour after you summoned it. The DM has the fey creature's Statistics.\n\nAt Higher Levels: When you cast this spell using a spell slot of 7th level or higher, the Challenge Rating increases by 1 for each slot level above 6th."
"Conjure Minor Elementals"	"4"	"conjuration"	"False"	"1 minute"	"90 feet"	"True"	"True"	"False"	""	"True"	"Up to 1 hour"	"Druid, Wizard"	"You summon Elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears.\n\n• One elemental of Challenge Rating 2 or lower\n\n• Two Elementals of Challenge Rating 1 or lower\n\n• Four Elementals of Challenge Rating 1/2 or lower\n\n• Eight Elementals of Challenge Rating 1/4 or lower.\n\nAn elemental summoned by this spell disappears when it drops to 0 Hit Points or when the spell ends.\n\nThe summoned creatures are friendly to you and your companions. Roll Initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from Hostile creatures, but otherwise take no Actions. The DM has the creatures' Statistics.\n\nAt Higher Levels: When you cast this spell using certain higher-level Spell Slots, you choose one of the summoning options above, and more creatures appear - twice as many with a 6th-level slot and three times as many with an 8th-level slot"
"Conjure Woodland Beings"	"4"	"conjuration"	"False"	"1 action"	"60 feet"	"True"	"True"	"True"	"One holly berry per creature summoned"	"True"	"Concentration, Up to 1 hour"	"Druid, Ranger"	"You Summon Fey creatures that appear in unoccupied spaces that you can see within range. Choose one of the following options for what appears.\n\n• One fey creature of Challenge Rating 2 or lower\n\n• Two fey creatures of Challenge Rating 1 or lower\n\n• Four fey creatures of Challenge Rating 1/2 or lower\n\n• Eight fey creatures of Challenge Rating 1/4 or lower\n\nA summoned creature disappears when it drops to 0 Hit Points or when the spell ends. The summoned creatures are friendly to you and your companions. Roll Initiative for the summoned creatures as a group, which have their own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from Hostile creatures, but otherwise take no Actions. The DM has the creatures' Statistics.\n\nAt Higher Levels: When you cast this spell using certain higher-level Spell Slots, you choose one of the summoning options above, and more creatures appear - twice as many with a 6th-level slot and three times as many with an 8th-level slot."
"Contact Other Plane"	"5"	"divination"	"True"	"1 minute"	"Self"	"True"	"False"	"False"	""	"False"	"1 minute"	"Warlock, Wizard"	"You mentally contact a demigod, the spirit of a long-dead sage, or some other mysterious entity from another plane. Contacting this extraplanar Intelligence can strain or even break your mind. When you cast this spell, make a DC 15 Intelligence saving throw. On a failure, you take 6d6 psychic damage and are insane until you finish a Long Rest. While insane, you can't take Actions, can't understand what other creatures say, can't read, and speak only in gibberish. A Greater Restoration spell cast on you ends this Effect.\n\nOn a successful save, you can ask the entity up to five questions. You must ask your questions before the spell ends. The DM answers each question with one word, such as yes, no, maybe, never, irrelevant, unclear (if the entity doesn't know the answer to the question). If a one-word answer would be misleading, the DM might instead offer a short phrase as an answer."
"Contagion"	"5"	"necromancy"	"False"	"1 action"	"Touch"	"True"	"True"	"False"	""	"False"	"7 days"	"Cleric, Druid"	"Your touch inflicts disease. Make a melee spell Attack against a creature within your reach. On a hit, you afflict the creature with a disease of your choice from any of the ones described below.\n\nAt the end of each of the target's turns, it must make a Constitution saving throw. After failing three of these Saving Throws, the disease's Effects last for the Duration, and the creature stops making these saves. After succeeding on three of these Saving Throws, the creature recovers from the disease, and the spell ends.\n\nSince this spell induces a natural disease in its target, any Effect that removes a disease or otherwise ameliorates a disease's Effects apply to it.\n\nBlinding Sickness: Pain grips the creature's mind, and its eyes turn milky white. The creature has disadvantage on Wisdom Checks and Wisdom Saving Throws and is Blinded.\n\nFilth Fever: A raging fever sweeps through the creature's body. The creature has disadvantage on Strength Checks, Strength Saving Throws, and Attack Rolls that use Strength.\n\nFlesh Rot: The creature's flesh decays. The creature has disadvantage on Charisma Checks and vulnerability to all damage.\n\nMindfire: The creature's mind becomes feverish. The creature has disadvantage on Intelligence Checks and Intelligence Saving Throws, and the creature behaves as if under the Effects of the Confusion spell during Combat.\n\nSeizure: The creature is overcome with shaking. The creature has disadvantage on Dexterity Checks, Dexterity Saving Throws, and Attack Rolls that use Dexterity.\n\nSlimy Doom: The creature begins to bleed uncontrollably. The creature has disadvantage on Constitution Checks and Constitution Saving Throws. In addition, whenever the creature takes damage, it is Stunned until the end of its next turn."
"Contingency"	"6"	"evocation"	"False"	"10 minutes"	"Self"	"True"	"True"	"True"	"A statuette of yourself carved from ivory and decorated with gems worth at least 1,500 gp"	"False"	"10 days"	"Wizard"	"Choose a spell of or lower that you can cast, that has a Casting Time of 1 action, and that can target you. You cast that spell, called the contingent spell, as part of casting contingency, expending Spell Slots for both, but the contingent spell doesn't come into Effect. Instead, it takes Effect when a certain circumstance occurs. You describe that circumstance when you cast the two Spells. For example, a contingency cast with Water Breathing might stipulate that Water Breathing comes into Effect when you are engulfed in water or a similar liquid.\n\nThe contingent spell takes Effect immediately after the circumstance is met for the first time, whether or not you want it to, and then contingency ends.\n\nThe contingent spell takes Effect only on you, even if it can normally target others. You can use only one contingency spell at a time. If you cast this spell again, the Effect of another contingency spell on you ends. Also, contingency ends on you if its material component is ever not on your person."
"Continual Flame"	"2"	"evocation"	"False"	"1 action"	"Touch"	"True"	"True"	"True"	"Ruby dust worth 50 gp, which the spell consumes"	"False"	"Until dispelled"	"Cleric, Wizard"	"A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The Effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continual flame can be covered or hidden but not smothered or quenched."
"Control Water"	"4"	"transmutation"	"False"	"1 action"	"300 feet"	"True"	"True"	"True"	"A drop of water and a pinch of dust"	"True"	"Up to 10 minutes"	"Cleric, Druid, Wizard"	"Until the spell ends, you control any freestanding water inside an area you choose that is a cube up to 100 feet on a side. You can choose from any of the following Effects when you cast this spell. As an action on Your Turn, you can repeat the same Effect or choose a different one.\n\nFlood: You cause the water level of all standing water in the area to rise by as much as 20 feet. If the area includes a shore, the flooding water spills over onto dry land. If you choose an area in a large body of water, you instead create a 20-foot tall wave that travels from one side of the area to the other and then crashes down. Any Huge or smaller vehicles in the wave's path are carried with it to the other side. Any Huge or smaller vehicles struck by the wave have a 25 percent chance of capsizing. The water level remains elevated until the spell ends or you choose a different Effect. If this Effect produced a wave, the wave repeats on the start of your next turn while the flood Effect lasts.\n\nPart Water: You cause water in the area to move apart and create a Trench. The Trench extends across the spell's area, and the separated water forms a wall to either side. The Trench remains until the spell ends or you choose a different Effect. The water then slowly fills in the Trench over the course of the next round until the normal water level is restored.\n\nRedirect Flow: You cause flowing water in the area to move in a direction you choose, even if the water has to flow over Obstacles, up walls, or in other unlikely Directions. The water in the area moves as you direct it, but once it moves beyond the spell's area, it resumes its flow based on the terrain Conditions. The water continues to move in the direction you chose until the spell ends or you choose a different Effect.\n\nWhirlpool: This Effect requires a body of water at least 50 feet square and 25 feet deep. You cause a whirlpool to form in the center of the area. The whirlpool forms a vortex that is 5 feet wide at the base, up to 50 feet wide at the top, and 25 feet tall. Any creature or object in the water and within 25 feet of the vortex is pulled 10 feet toward it. A creature can swim away from the vortex by making a Strength (Athletics) check against your spell save DC. When a creature enters the vortex for the first time on a turn or starts its turn there, it must make a Strength saving throw. On a failed save, the creature takes 2d8 bludgeoning damage and is caught in the vortex until the spell ends. On a successful save, the creature takes half damage, and isn't caught in the vortex. A creature caught in the vortex can use its action to try to swim away from the vortex as described above, but has disadvantage on the Strength (Athletics) check to do so. The first time each turn that an object enters the vortex, the object takes 2d8 bludgeoning damage, this damage occurs each round it remains in the vortex."
"Control Weather"	"8"	"transmutation"	"False"	"10 minutes"	"Self (5-mile radius)"	"True"	"True"	"True"	"Burning incense and bits of earth and wood mixed in water"	"True"	"Up to 8 hours"	"Cleric, Druid, Wizard"	"You take control of the weather within 5 miles of you for the Duration. You must be outdoors to cast this spell. Moving to a place where you don't have a clear path to The Sky ends the spell early.\n\nWhen you cast the spell, you change the current weather Conditions, which are determined by the DM based on the climate and season. You can change precipitation, temperature, and wind. It takes 1d4 x 10 minutes for the new Conditions to take Effect. Once they do so, you can change the Conditions again. When the spell ends, the weather gradually returns to normal.\n\nWhen you change the weather Conditions, find a current condition on the following tables and change its stage by one, up or down. When changing the wind, you can change its direction.\n\nPrecipitation:\ntage 1 - Clear\ntage 2 - Light clouds\ntage 3 - Overcast or ground fog\ntage 4 - Rain, hail or snow\ntage 5 - Torrential rain, driving hail or Blizzard\n\nTemperature:\ntage 1 - Unbearable heat\ntage 2 - Hot\ntage 3 - Warm\ntage 4 - Cool\ntage 5 - Cold\ntage 6 - Arctic cold\n\nWind:\ntage 1 - Calm\ntage 2 - Moderate wind\ntage 3 - Strong Wind\ntage 4 - Gale\ntage 5 - Storm"
"Counterspell"	"3"	"abjuration"	"False"	"1 reaction, which you take when you see a creature within 60 feet of you casting a spell"	"60 feet"	"False"	"True"	"False"	""	"False"	"Instantaneous"	"Sorcerer, Warlock, Wizard"	"You attempt to interrupt a creature in the process of Casting a Spell. If the creature is Casting a Spell of 3rd Level or lower, its spell fails and has no Effect. If it is Casting a Spell of 4th Level or higher, make an ability check using your Spellcasting Ability. The DC equals 10 + the spell's level. On a success, the creature's spell fails and has no Effect.\n\nAt Higher Levels: When you cast this spell using a spell slot of 4th Level or higher, the interrupted spell has no Effect if its level is less than or equal to the level of the spell slot you used."
"Create Food And Water"	"3"	"conjuration"	"False"	"1 action"	"30 feet"	"True"	"True"	"False"	""	"False"	"Instantaneous"	"Cleric, Paladin"	"You create 45 pounds of food and 30 gallons of water on the ground or in containers within range, enough to sustain up to fifteen Humanoids or five steeds for 24 hours. The food is bland but nourishing, and spoils if uneaten after 24 hours. The water is clean and doesn't go bad."
"Create Undead"	"6"	"necromancy"	"False"	"1 minute"	"10 feet"	"True"	"True"	"True"	"One clay pot filled with grave dirt, one clay pot filled with brackish water, and one 150 gp black onyx stone for each corpse"	"False"	"Instantaneous"	"Cleric, Warlock, Wizard"	"You can cast this spell only at night. Choose up to three corpses of Medium or Small Humanoids within range. Each corpse becomes a ghoul under your control. (The DM has game Statistics for these creatures.)\n\nAs a Bonus Action on each of your turns, you can mentally Command any creature you animated with this spell if the creature is within 120 feet of you (if you control multiple creatures, you can Command any or all of them at the same time, issuing the same Command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general Command, such as to guard a particular Chamber or corridor. If you issue no commands, the creature only defends itself against Hostile creatures. Once given an order, the creature continues to follow it until its task is complete.\n\nThe creature is under your control for 24 hours, after which it stops obeying any Command you have given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature before the current 24-hour period ends. This use of the spell reasserts your control over up to three creatures you have animated with this spell, rather than animating new ones.\n\nAt Higher Levels: When you cast this spell using a 7th-level spell slot, you can animate or reassert control over four Ghouls. When you cast this spell using an 8th-level spell slot, you can animate or reassert control over five Ghouls or two ghasts or wights. When you cast this spell using a 9th-level spell slot, you can animate or reassert control over six Ghouls, three ghasts or wights, or two mummies"
"Create Or Destroy Water"	"1"	"transmutation"	"False"	"1 action"	"30 feet"	"True"	"True"	"True"	"A drop of water if creating water or a few grains of sand if destroying it"	"False"	"Instantaneous"	"Cleric, Druid"	"You either create or destroy water.\n\nCreate Water: You create up to 10 gallons of clean water within range in an open container. Alternatively, the water falls as rain in a 30-foot cube within range, extinguishing exposed flames in the area.\n\nDestroy Water: You destroy up to 10 gallons of water in an open container within range. Alternatively, you destroy fog in a 30-foot cube within range.\n\nAt Higher Levels: When you cast this spell using a spell slot of 2nd Level or higher, you create or destroy 10 additional gallons of water, or the size of the cube increases by 5 feet, for each slot level above 1st."
"Creation"	"5"	"illusion"	"False"	"1 minute"	"30 feet"	"True"	"True"	"True"	"A tiny piece of matter of the same type of the item you plan to create"	"False"	"Special"	"Sorcerer, Wizard"	"You pull wisps of Shadow material from the Shadowfell to create a nonliving object of vegetable matter within range - soft goods, rope, wood, or something similar. You can also use this spell to create mineral Objects such as stone, Crystal, or metal. The object created must be no larger than a 5-foot cube, and the object must be of a form and material that you have seen before.\n\nThe Duration depends on the object's material. If the object is composed of multiple materials, use the shortest Duration.\n\nMaterial - Duration:\negetable matter - 1 day\ntone/crystal - 12 hours\nrecious metals - 1 hour\nems - 10 minutes\ndamantine/Mithral - 1 minute\n\nUsing any material created by this spell as another spell's material component causes that spell to fail.\n\nAt Higher Levels: When you cast this spell using a spell slot of 6th level or higher, the cube increases by 5 feet for each slot level above 5th."
"Cure Wounds"	"1"	"evocation"	"False"	"1 action"	"Touch"	"True"	"True"	"False"	""	"False"	"Instantaneous"	"Bard, Cleric, Druid, Paladin, Ranger"	"A creature you touch regains a number of Hit Points equal to 1d8 + your Spellcasting Ability modifier. This spell has no Effect on Undead or Constructs.\n\nAt Higher Levels: When you cast this spell using a spell slot of 2nd Level or higher, the Healing increases by 1d8 for each slot level above 1st."
"Dancing Lights"	"cantrip"	"evocation"	"False"	"1 action"	"120 feet"	"True"	"True"	"True"	"A bit of phosphorus or wychwood, or a glowworm"	"True"	"Up to 1 minute"	"Bard, Sorcerer, Wizard"	"You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the Duration. You can also combine the four lights into one glowing vaguely Humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius.\n\nAs a Bonus Action on Your Turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range."
"Darkness"	"2"	"evocation"	"False"	"1 action"	"60 feet"	"True"	"False"	"True"	"Bat fur and a drop of pitch or piece of coal"	"True"	"Up to 10 minutes"	"Sorcerer, Warlock, Wizard"	"Magical darkness spreads from a point you choose within range to fill a 15-foot radius Sphere for the Duration. The darkness spreads around corners. A creature with Darkvision can't see through this darkness, and nonmagical light can't illuminate it.\n\nIf the point you choose is on an object you are holding or one that isn't being worn or carried, the darkness emanates from the object and moves with it. Completely covering the source of the darkness with an opaque object, such as a bowl or a helm, blocks the darkness.\n\nIf any of this spell's area overlaps with an area of light created by a spell of 2nd Level or lower, the spell that created the light is dispelled."
"Darkvision"	"2"	"transmutation"	"False"	"1 action"	"Touch"	"True"	"True"	"True"	"Either a pinch of dried carrot or an agate"	"False"	"8 hours"	"Druid, Ranger, Sorcerer, Wizard"	"You touch a willing creature to grant it the ability to see in the dark. For the Duration, that creature has Darkvision out to a range of 60 feet."
"Daylight"	"3"	"evocation"	"False"	"1 action"	"60 feet"	"True"	"True"	"False"	""	"False"	"1 hour"	"Cleric, Druid, Paladin, Ranger, Sorcerer"	"A 60-foot-radius Sphere of light spreads out from a point you choose within range. The Sphere is bright light and sheds dim light for an additional 60 feet.\n\nIf you chose a point on an object you are holding or one that isn't being worn or carried, the light shines from the object with and moves with it. Completely covering the affected object with an opaque object, such as a bowl or a helm, blocks the light.\n\nIf any of this spell's area overlaps with an area of Darkness created by a spell of or lower, the spell that created the Darkness is dispelled."
"Death Ward"	"4"	"abjuration"	"False"	"1 action"	"Touch"	"True"	"True"	"False"	""	"False"	"8 hours"	"Cleric, Paladin"	"You touch a creature and grant it a measure of Protection from death. The first time the target would drop to 0 Hit Points as a result of taking damage, the target instead drops to 1 hit point, and the spell ends. If the spell is still in Effect when the target is subjected to an Effect that would kill it instantaneously without dealing damage, that Effect is instead negated against the target, and the Spells ends."
"Delayed Blast Fireball"	"7"	"evocation"	"False"	"1 action"	"150 feet"	"True"	"True"	"True"	"A tiny ball of bat guano and sulfur"	"True"	"Up to 1 minute"	"Sorcerer, Wizard"	"A beam of yellow light flashes from your pointing finger, then condenses to linger at a chosen point within range as a glowing bead for the Duration. When the spell ends, either because your Concentration is broken or because you decide to end it, the bead blossoms with a low roar into an explosion of flame that spreads around corners. Each creature in a 20-foot-radius Sphere centered on that point must make a Dexterity saving throw. A creature takes fire damage equal to the total accumulated damage on a failed save, or half as much damage on a successful one.\n\nThe spell's base damage is 12d6. If at the end of Your Turn the bead has not yet detonated, the damage increases by 1d6.\n\nIf the glowing bead is Touched before the interval has expired, the creature touching it must make a Dexterity saving throw. On a failed save, the spell ends immediately, causing the bead to erupt in flame. On a successful save, the creature can throw the bead up to 40 feet. When it strikes a creature or a solid object, the spell ends, and the bead explodes.\n\nThe fire damages Objects in the area and ignites flammable Objects that aren't being worn or carried.\n\nAt Higher Levels: When you cast this spell using a spell slot of 8th level or higher, the base damage increases by 1d6 for each slot level above 7th."
"Demiplane"	"8"	"conjuration"	"False"	"1 action"	"60 feet"	"False"	"True"	"False"	""	"False"	"1 hour"	"Warlock, Wizard"	"You create a shadowy door on a flat solid surface that you can see within range. The door is large enough to allow Medium creatures to pass through unhindered. When opened, the door leads to a demiplane that appears to be an empty room 30 feet in each dimension, made of wood or stone. When the spell ends, the door disappears, and any creatures or Objects inside the demiplane remain trapped there, as the door also disappears from the other side.\n\nEach time you cast this spell, you can create a new demiplane, or have the shadowy door connect to a demiplane you created with a previous casting of this spell. Additionally, if you know the Nature and contents of a demiplane created by a casting of this spell by another creature, you can have the shadowy door connect to its demiplane instead."
"Detect Evil And Good"	"1"	"divination"	"False"	"1 action"	"Self"	"True"	"True"	"False"	""	"True"	"Up to 10 minutes"	"Cleric, Paladin"	"For the Duration, you know if there is an Aberration, Celestial, elemental, fey, fiend, or Undead within 30 feet of you, as well as where the creature is located. Similarly, you know if there is a place or object within 30 feet of you that has been magically consecrated or desecrated. The spell can penetrate most barriers, but it is blocked by 1 foot of stone, 1 inch of Common metal, a thin sheet of lead, or 3 feet of wood or dirt."
"Detect Magic"	"1"	"divination"	"True"	"1 action"	"Self"	"True"	"True"	"False"	""	"True"	"Up to 10 minutes"	"Bard, Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard"	"For the Duration, you sense the presence of magic within 30 feet of you. If you sense magic in this way, you can use your action to see a faint aura around any visible creature or object in the area that bears magic, and you learn its school of magic, if any.\n\nThe spell can penetrate most barriers, but is blocked by 1 foot of stone, 1 inch of Common metal, a thin sheet of lead, or 3 feet of wood or dirt."
"Detect Poison And Disease"	"1"	"divination"	"True"	"1 action"	"Self"	"True"	"True"	"True"	"A yew leaf"	"True"	"Up to 10 minutes"	"Cleric, Druid, Paladin, Ranger"	"For the Duration, you can sense the presence and Location of Poisons, poisonous creatures, and Diseases within 30 feet of you. You also Identify the kind of poison, poisonous creature, or disease in each case.\n\nThe spell can penetrate most barriers, but is blocked by 1 foot of stone, 1 inch of Common metal, a thin sheet of lead, or 3 feet of wood or dirt."
"Detect Thoughts"	"2"	"divination"	"False"	"1 action"	"Self"	"True"	"True"	"True"	"A copper piece"	"True"	"Up to 1 minute"	"Bard, Sorcerer, Wizard"	"For the Duration, you can read the thoughts of certain creatures. When you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within 30 feet of you. If the creature you choose has an Intelligence of 3 or lower or doesn't speak any language, the creature is unaffected.\n\nYou initially learn the surface thoughts of the creature - what is most on its mind in that moment. As an action, you can either shift your attention to another creature's thoughts or attempt to probe deeper into the same creature's mind. If you probe deeper, the target must make a Wisdom saving throw. If it fails, you gain Insight into its reasoning (if any), its emotional state, and something that looms large in its mind (such as something it worries over, loves, or hates). If it succeeds, the spell ends. Either way, the target knows that you are probing into its mind, and unless you shift your attention to another creature's thoughts, the creature can use its action on its turn to make an Intelligence check contested by your Intelligence check if it succeeds, the spell ends.\n\nQuestions verbally directed at the target creature naturally shape the course of its thoughts, so this spell is particularly effective as part of an interrogation.\n\nYou can also use this spell to detect the presence of thinking creatures you can't see. When you cast the spell or as your action during the Duration, you can Search for thoughts within 30 feet of you. The spell can penetrate barriers, but 2 feet of rock, 2 inches of any metal other than lead, or a thin sheet of lead blocks you. You can't detect a creature with an Intelligence of 3 or lower or one that doesn't speak any language.\n\nOnce you detect the presence of a creature in this way, you can read its thoughts for the rest of the Duration as described above, even if you can't see it, but it must still be within range."
"Dimension Door"	"4"	"conjuration"	"False"	"1 action"	"500 feet"	"True"	"False"	"False"	""	"False"	"Instantaneous"	"Bard, Sorcerer, Warlock, Wizard"	"You Teleport yourself from your current Location to any other spot within range. You arrive at exactly the spot desired. It can be a place you can see, one you can visualize, or one you can describe by stating distance and direction, such as 200 feet straight downward or upward to the northwest at a 45-degree angle, 300 feet.\n\nYou can bring along Objects as long as their weight doesn't exceed what you can carry. You can also bring one willing creature of your size or smaller who is carrying gear up to its carrying Capacity. The creature must be within 5 feet of you when you cast this spell.\n\nIf you would arrive in a place already occupied by an object or a creature, you and any creature traveling with you each take 4d6 force damage, and the spell fails to Teleport you."
"Disguise Self"	"1"	"illusion"	"False"	"1 action"	"Self"	"True"	"True"	"False"	""	"False"	"1 hour"	"Bard, Sorcerer, Wizard"	"You make yourself, including your clothing, armor, Weapons, and other belongings on your person, look different until the spell ends or until you use your action to dismiss it. You can seem 1 foot shorter or taller and can appear thin, fat, or in between. You can't change your body type, so you must adopt a form that has the same basic arrangement of limbs. Otherwise, the extent of the Illusion is up to you.\n\nThe changes wrought by this spell fail to hold up to physical inspection. For example, if you use this spell to add a hat to your outfit, Objects pass through the hat, and anyone who touches it would feel nothing or would feel your head and hair. If you use this spell to appear thinner than you are, the hand of someone who reaches out to touch you would bump into you while it was seemingly still in midair.\n\nTo discern that you are disguised, a creature can use its action to inspect your Appearance and must succeed on an Intelligence (Investigation) check against your spell save DC."
"Disintegrate"	"6"	"transmutation"	"False"	"1 action"	"60 feet"	"True"	"True"	"True"	"A lodestone and a pinch of dust"	"False"	"Instantaneous"	"Sorcerer, Wizard"	"A thin green ray springs from your pointing finger to a target that you can see within range. The target can be a creature, an object, or a Creation of magical force, such as the wall created by Wall of Force.\n\nA creature targeted by this spell must make a Dexterity saving throw. On a failed save, the target takes 10d6+40 force damage. If this damage reduces the target to 0 Hit Points, it is disintegrated.\n\nA disintegrated creature and everything it is wearing and carrying, except Magic Items, are reduced to a pile of fine gray dust. The creature can be restored to life only by means of a True Resurrection or a wish spell.\n\nThis spell automatically disintegrates a Large or smaller nonmagical object or a Creation of magical force. If the target is a Huge or larger object or Creation of force, this spell disintegrates a 10-foot-cube portion of it. A magic item is unaffected by this spell.\n\nAt Higher Levels: When you cast this spell using a spell slot of 7th level or higher, the damage increases by 3d6 for each slot level above 6th."
"Dispel Evil And Good"	"5"	"abjuration"	"False"	"1 action"	"Self"	"True"	"True"	"True"	"Holy water or powdered silver and iron"	"True"	"Up to 1 minute"	"Cleric, Paladin"	"Shimmering energy surrounds and protects you from fey, Undead, and creatures originating from Beyond the Material Plane. For the Duration, Celestials, Elementals, fey, Fiends, and Undead have disadvantage on Attack Rolls against you. You can end the spell early by using either of the following Special functions.\n\nBreak Enchantment: As your action, you touch a creature you can reach that is Charmed, Frightened, or possessed by a Celestial, an elemental, a fey, a fiend, or an Undead. The creature you touch is no longer Charmed, Frightened, or possessed by such creatures.\n\nDismissal: As your action, make a melee spell Attack against a Celestial, an elemental, a fey, a fiend, or an Undead you can reach. On a hit, you attempt to drive the creature back to its home plane. The creature must succeed on a Charisma saving throw or be sent back to its home plane (if it isn't there already). If they aren't on their home plane, Undead are sent to the Shadowfell, and fey are sent to the Feywild."
"Dispel Magic"	"3"	"abjuration"	"False"	"1 action"	"120 feet"	"True"	"True"	"False"	""	"False"	"Instantaneous"	"Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard"	"Choose any creature, object, or magical Effect within range. Any spell of 3rd Level or lower on the target ends. For each spell of or higher on the target, make an ability check using your Spellcasting Ability. The DC equals 10 + the spell's level. On a successful check, the spell ends.\n\nAt Higher Levels: When you cast this spell using a spell slot of 4th Level or higher, you automatically end the Effects of a spell on the target if the spell's level is equal to or less than the level of the spell slot you used."
"Divination"	"4"	"divination"	"True"	"1 action"	"Self"	"True"	"True"	"True"	"Incense and a sacrificial offering appropriate to your religion, together worth at least 25 gp, which the spell consumes"	"False"	"Instantaneous"	"Cleric"	"Your magic and an offering put you in contact with a god or a god's servants. You ask a single question concerning a specific goal, event, or activity to occur within 7 days. The DM offers a truthful reply. The reply might be a short phrase, a cryptic rhyme, or an omen.\n\nThe spell doesn't take into account any possible circumstances that might change the outcome, such as the casting of additional Spells or the loss or gain of a companion.\n\nIf you cast this spell two or more times before finishing your next Long Rest, there is a cumulative 25 percent chance for each casting after the first that you get a random reading. The DM makes this roll in Secret."
"Divine Favor"	"1"	"evocation"	"False"	"1 bonus action"	"Self"	"True"	"True"	"False"	""	"True"	"Up to 1 minute"	"Paladin"	"Your prayer empowers you with divine Radiance. Until the spell ends, your weapon attacks deal and extra 1d4 radiant damage on a hit."
"Divine Word"	"7"	"evocation"	"False"	"1 bonus action"	"30 feet"	"True"	"False"	"False"	""	"False"	"Instantaneous"	"Cleric"	"You utter a divine word, imbued with the power that shaped the world at the dawn of Creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an Effect based on its current Hit Points.\n\n• 50 Hit Points or fewer - Deafened for 1 minute\n\n• 40 Hit Points or fewer - Deafened and Blinded for 10 minutes\n\n• 30 Hit Points or fewer - Blinded, Deafened, and Stunned for 1 hour\n\n• 20 Hit Points or fewer - killed instantly\n\nRegardless of its current Hit Points, a Celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of Origin (if it isn't there already) and can't return to your current plane for 24 hours by any means short of a wish spell."
"Dominate Beast"	"4"	"enchantment"	"False"	"1 action"	"60 feet"	"True"	"True"	"False"	""	"True"	"Up to 1 minute"	"Druid, Sorcerer"	"You attempt to beguile a beast that you can see within range. It must succeed on a Wisdom saving throw or be Charmed by you for the Duration. If you or creatures that are friendly to you are Fighting it, it has advantage on the saving throw.\n\nWhile the beast is Charmed, you have a Telepathic link with it as long as the two of you are on the same plane of existence. You can use this Telepathic link to issue commands to the creature while you are conscious (no action required), which it does its best to obey. You can specify a simple and general course of action, such as Attack that creature, Run over there, or Fetch that object. If the creature completes the order and doesn't receive further direction from you, it defends and preserves itself to the best of its ability.\n\nYou can use your action to take total and precise control of the target. Until the end of your next turn, the creature takes only the Actions you choose, and doesn't do anything that you don't allow it to do. During this time, you can also cause the creature to use a Reaction, but this requires you to use your own Reaction as well.\n\nEach time the target takes damage, it makes a new Wisdom saving throw against the spell. If the saving throw succeeds, the spell ends.\n\nAt Higher Levels: When you cast this spell with a 5th-level spell slot, the Duration is Concentration, up to 10 minutes. When you use a 6th-level spell slot, the Duration is Concentration, up to 1 hour. When you use a spell slot of 7th level or higher, the Duration is Concentration, up to 8 hours."
